Game,Team,spread_barttorvik,win_prob_barttorvik,projected_total_barttorvik,spread_drating,win_prob_drating,projected_total_drating,spread_evanmiya,win_prob_evanmiya,projected_total_evanmiya,spread_kenpom,win_prob_kenpom,projected_total_kenpom,spread_massey,win_prob_massey,projected_total_massey,Opening Moneyline,Moneyline Win Probability,Opening Spread,theoddsapi_total,Moneyline Edge,average_total
C Michigan vs Kent,C Michigan,,,,,,,,,,,,,8.5,0.26,133.0,,0.26,,,,133.0
C Michigan vs Kent,Kent,,,,,,,,,,,,,-8.5,0.74,133.0,,0.74,,,,133.0
Cal Poly vs Long Beach State,Cal Poly,,,,,,,2.6,0.589,151.1,,,,,,,,0.589,,,,151.1
Cal Poly vs Long Beach State,Long Beach State,,,,,,,-2.6,0.41100000000000003,151.1,,,,,,,,0.41100000000000003,,,,151.1
Cal State Bakersfield vs Cal Poly,Cal Poly,,,,,,,-7.6,0.254,152.4,,,,,,,,0.254,,,,152.4
Cal State Bakersfield vs Cal Poly,Cal State Bakersfield,,,,,,,7.6,0.746,152.4,,,,,,,,0.746,,,,152.4
Cal State Bakersfield vs UC Riverside,Cal State Bakersfield,,,,,,,-0.2,0.49200000000000005,140.8,,,,,,,,0.49200000000000005,,,,140.8
Cal State Bakersfield vs UC Riverside,UC Riverside,,,,,,,0.2,0.508,140.8,,,,,,,,0.508,,,,140.8
Cal State Fullerton vs Cal State Bakersfield,Cal State Bakersfield,,,,,,,2.2,0.581,136.8,,,,,,,,0.581,,,,136.8
Cal State Fullerton vs Cal State Bakersfield,Cal State Fullerton,,,,,,,-2.2,0.419,136.8,,,,,,,,0.419,,,,136.8
Cal State Fullerton vs UC Santa Barbara,Cal State Fullerton,,,,,,,-8.6,0.215,135.5,,,,,,,,0.215,,,,135.5
Cal State Fullerton vs UC Santa Barbara,UC Santa Barbara,,,,,,,8.6,0.785,135.5,,,,,,,,0.785,,,,135.5
Cal State Northridge vs Long Beach State,Cal State Northridge,,,,,,,16.0,0.919,146.3,,,,,,,,0.919,,,,146.3
Cal State Northridge vs Long Beach State,Long Beach State,,,,,,,-16.0,0.081,146.3,,,,,,,,0.081,,,,146.3
California Baptist vs Abilene Christian,Abilene Christian,,,,,,,-5.3,0.316,136.1,,,,,,,,0.316,,,,136.1
California Baptist vs Abilene Christian,California Baptist,,,,,,,5.3,0.684,136.1,,,,,,,,0.684,,,,136.1
California Baptist vs Utah Valley,California Baptist,,,,,,,0.1,0.503,138.0,,,,,,,,0.503,,,,138.0
California Baptist vs Utah Valley,Utah Valley,,,,,,,-0.1,0.49700000000000005,138.0,,,,,,,,0.49700000000000005,,,,138.0
California vs Florida State,California,,,,,,,-2.1,0.42700000000000005,150.7,,,,,,,,0.42700000000000005,,,,150.7
California vs Florida State,Florida State,,,,,,,2.1,0.573,150.7,,,,,,,,0.573,,,,150.7
California vs Miami (Fla.),California,,,,,,,4.7,0.6629999999999999,157.5,,,,,,,,0.6629999999999999,,,,157.5
California vs Miami (Fla.),Miami (Fla.),,,,,,,-4.7,0.337,157.5,,,,,,,,0.337,,,,157.5
Campbell vs William & Mary,Campbell,,,,,,,-1.5,0.44799999999999995,150.6,,,,,,,,0.44799999999999995,,,,150.6
Campbell vs William & Mary,William & Mary,,,,,,,1.5,0.552,150.6,,,,,,,,0.552,,,,150.6
Canisius vs Marist,Canisius,,,,,,,-8.0,0.23199999999999998,133.3,,,,,,,,0.23199999999999998,,,,133.3
Canisius vs Marist,Marist,,,,,,,8.0,0.768,133.3,,,,,,,,0.768,,,,133.3
Canisius vs Niagara,Canisius,,,,,,,-2.4,0.41200000000000003,139.9,,,,,,,,0.41200000000000003,,,,139.9
Canisius vs Niagara,Niagara,,,,,,,2.4,0.588,139.9,,,,,,,,0.588,,,,139.9
Canisius vs Sacred Heart,Canisius,,,,,,,-4.7,0.34,150.3,,,,,,,,0.34,,,,150.3
Canisius vs Sacred Heart,Sacred Heart,,,,,,,4.7,0.66,150.3,,,,,,,,0.66,,,,150.3
Central Arkansas vs Austin Peay,Austin Peay,,,,,,,0.1,0.505,133.7,,,,,,,,0.505,,,,133.7
Central Arkansas vs Austin Peay,Central Arkansas,,,,,,,-0.1,0.495,133.7,,,,,,,,0.495,,,,133.7
Central Arkansas vs Lipscomb,Central Arkansas,,,,,,,-16.2,0.07200000000000001,140.5,,,,,,,,0.07200000000000001,,,,140.5
Central Arkansas vs Lipscomb,Lipscomb,,,,,,,16.2,0.9279999999999999,140.5,,,,,,,,0.9279999999999999,,,,140.5
Central Arkansas vs West Georgia,Central Arkansas,,,,,,,3.7,0.628,141.0,,,,,,,,0.628,,,,141.0
Central Arkansas vs West Georgia,West Georgia,,,,,,,-3.7,0.37200000000000005,141.0,,,,,,,,0.37200000000000005,,,,141.0
Central Connecticut vs Chicago State,Central Connecticut,,,,,,,13.5,0.89,126.6,,,,,,,,0.89,,,,126.6
Central Connecticut vs Chicago State,Chicago State,,,,,,,-13.5,0.11,126.6,,,,,,,,0.11,,,,126.6
Central Michigan vs Ball St.,Ball St.,4.4,0.33,142.0,,,,,,,,,,,,,,0.33,,,,142.0
Central Michigan vs Ball St.,Central Michigan,-4.4,0.67,142.0,,,,,,,,,,,,,,0.67,,,,142.0
Central Michigan vs Ball State,Ball State,,,,,,,-1.3,0.45399999999999996,140.6,,,,,,,,0.45399999999999996,,,,140.6
Central Michigan vs Ball State,Central Michigan,,,,,,,1.3,0.546,140.6,,,,,,,,0.546,,,,140.6
Central Michigan vs Western Michigan,Central Michigan,,,,,,,5.5,0.685,141.4,,,,,,,,0.685,,,,141.4
Central Michigan vs Western Michigan,Western Michigan,,,,,,,-5.5,0.315,141.4,,,,,,,,0.315,,,,141.4
Charleston So vs Presbyterian,Charleston So,,,,,,,,,,,,,-5.5,0.63,119.0,,0.63,,,,119.0
Charleston So vs Presbyterian,Presbyterian,,,,,,,,,,,,,5.5,0.37,119.0,,0.37,,,,119.0
Charleston Southern vs UNC Asheville,Charleston Southern,,,,,,,-4.0,0.363,152.4,,,,,,,,0.363,,,,152.4
Charleston Southern vs UNC Asheville,UNC Asheville,,,,,,,4.0,0.637,152.4,,,,,,,,0.637,,,,152.4
Charlotte vs South Florida,Charlotte,,,,,,,-1.6,0.44299999999999995,143.0,,,,,,,,0.44299999999999995,,,,143.0
Charlotte vs South Florida,South Florida,,,,,,,1.6,0.557,143.0,,,,,,,,0.557,,,,143.0
Chattanooga vs Samford,Chattanooga,,,,,,,-0.4,0.485,160.1,,,,,,,,0.485,,,,160.1
